Iteration	Lh	Tree No	Alpha	Beta 1	Var	R^2	SSE	SST	s.e. Alpha	s.e. Beta-1	Lambda	
1039000	240.738779	1	0.139017082476	-0.000013574028	0.000914964848	0.001006008111	0.040382704676	0.040423370915	0.006578	0.000022	1.000000000000	
1040000	240.979735	1	0.141339082366	-0.000008950328	0.000905218620	0.001006008111	0.040382704676	0.040423370915	0.006543	0.000022	1.000000000000	
1041000	239.703566	1	0.152490168208	0.000016811723	0.000958045334	0.001006008111	0.040382704676	0.040423370915	0.006731	0.000023	1.000000000000	
1042000	237.388363	1	0.159827773502	-0.000012403283	0.001061876622	0.001006008111	0.040382704676	0.040423370915	0.007086	0.000024	1.000000000000	
1043000	240.730236	1	0.136178199521	-0.000003959887	0.000915312312	0.001006008111	0.040382704651	0.040423370890	0.006579	0.000022	1.000000000000	
1044000	240.752067	1	0.135898971014	0.000000333605	0.000914424631	0.001006008111	0.040382704676	0.040423370915	0.006576	0.000022	1.000000000000	
1045000	240.962349	1	0.137963002027	0.000011248476	0.000905918372	0.001006008111	0.040382704651	0.040423370890	0.006545	0.000022	1.000000000000	
1046000	238.832910	1	0.137927294660	0.000051646078	0.000995844312	0.001006008111	0.040382704651	0.040423370890	0.006862	0.000023	1.000000000000	
1047000	240.832430	1	0.144886458900	0.000019377391	0.000911164414	0.001006008111	0.040382704676	0.040423370915	0.006564	0.000022	1.000000000000	
1048000	239.575522	1	0.134480247274	-0.000026483767	0.000963512978	0.001006008111	0.040382704676	0.040423370915	0.006750	0.000023	1.000000000000	
1049000	238.546189	1	0.129913484122	-0.000027810876	0.001008615705	0.001006008111	0.040382704676	0.040423370915	0.006906	0.000023	1.000000000000	
1050000	239.789449	1	0.137291692043	-0.000028951674	0.000954395429	0.001006008111	0.040382704676	0.040423370915	0.006718	0.000023	1.000000000000	
1051000	240.904461	1	0.136965343754	0.000003926262	0.000908252128	0.001006008111	0.040382704676	0.040423370915	0.006554	0.000022	1.000000000000	
1052000	237.342954	1	0.146919935736	0.000065241887	0.001064021873	0.001006008111	0.040382704676	0.040423370915	0.007093	0.000024	1.000000000000	
1053000	238.709866	1	0.154768765875	0.000028358059	0.001001305147	0.001006008111	0.040382704676	0.040423370915	0.006881	0.000023	1.000000000000	
1054000	239.437464	1	0.145210931437	-0.000035396504	0.000969443183	0.001006008111	0.040382704676	0.040423370915	0.006771	0.000023	1.000000000000	
1055000	239.649669	1	0.146769065703	0.000039488067	0.000960343020	0.001006008111	0.040382704676	0.040423370915	0.006739	0.000023	1.000000000000	
1056000	240.642585	1	0.141738729251	-0.000018042147	0.000918884965	0.001006008111	0.040382704676	0.040423370915	0.006592	0.000022	1.000000000000	
1057000	239.790827	1	0.134922199685	0.000033862448	0.000954337010	0.001006008111	0.040382704676	0.040423370915	0.006718	0.000023	1.000000000000	
1058000	240.800344	1	0.140882366523	0.000023464612	0.000912464739	0.001006008111	0.040382704676	0.040423370915	0.006569	0.000022	1.000000000000	
1059000	241.122358	1	0.143807368791	0.000002713971	0.000899498792	0.001006008111	0.040382704651	0.040423370890	0.006522	0.000022	1.000000000000	
1060000	238.061943	1	0.125284627955	-0.000006229895	0.001030558461	0.001006008111	0.040382704676	0.040423370915	0.006981	0.000023	1.000000000000	
1061000	240.134032	1	0.143621196619	0.000035886434	0.000939890426	0.001006008111	0.040382704651	0.040423370890	0.006667	0.000022	1.000000000000	
1062000	240.852391	1	0.142247249791	0.000022189625	0.000910356439	0.001006008111	0.040382704676	0.040423370915	0.006561	0.000022	1.000000000000	
1063000	239.936133	1	0.152115817049	0.000000966871	0.000948193691	0.001006008111	0.040382704651	0.040423370890	0.006696	0.000022	1.000000000000	
1064000	240.550345	1	0.135273068208	-0.000006537876	0.000922659723	0.001006008111	0.040382704676	0.040423370915	0.006605	0.000022	1.000000000000	
1065000	240.085791	1	0.149397006834	0.000024629166	0.000941907752	0.001006008111	0.040382704676	0.040423370915	0.006674	0.000022	1.000000000000	
1066000	241.033054	1	0.143503647712	-0.000005520112	0.000903076039	0.001006008111	0.040382704676	0.040423370915	0.006535	0.000022	1.000000000000	
1067000	240.341511	1	0.143864807574	-0.000023035676	0.000931263249	0.001006008111	0.040382704676	0.040423370915	0.006636	0.000022	1.000000000000	
1068000	239.567074	1	0.136663400802	0.000040916027	0.000963874798	0.001006008111	0.040382704676	0.040423370915	0.006751	0.000023	1.000000000000	
1069000	240.558891	1	0.135836559917	-0.000009307281	0.000922309348	0.001006008111	0.040382704676	0.040423370915	0.006604	0.000022	1.000000000000	
1070000	240.934698	1	0.146254084579	0.000002474736	0.000907032376	0.001006008111	0.040382704676	0.040423370915	0.006549	0.000022	1.000000000000	
1071000	239.919311	1	0.144158113431	-0.000029647322	0.000948902890	0.001006008111	0.040382704676	0.040423370915	0.006699	0.000022	1.000000000000	
1072000	241.027921	1	0.138238105167	0.000005824286	0.000903282087	0.001006008111	0.040382704651	0.040423370890	0.006536	0.000022	1.000000000000	
1073000	240.617157	1	0.138950016426	-0.000016469655	0.000919923998	0.001006008111	0.040382704676	0.040423370915	0.006596	0.000022	1.000000000000	
1074000	239.128537	1	0.141686824682	0.000049917186	0.000982845523	0.001006008111	0.040382704676	0.040423370915	0.006818	0.000023	1.000000000000	
1075000	240.379267	1	0.145072736719	0.000030045607	0.000929701872	0.001006008111	0.040382704651	0.040423370890	0.006631	0.000022	1.000000000000	
1076000	240.713832	1	0.148026051307	0.000002432479	0.000915979905	0.001006008111	0.040382704651	0.040423370890	0.006582	0.000022	1.000000000000	
1077000	239.507021	1	0.132004821239	-0.000019100090	0.000966450843	0.001006008111	0.040382704676	0.040423370915	0.006760	0.000023	1.000000000000	
1078000	237.628619	1	0.159775249129	-0.000000348692	0.001050598181	0.001006008111	0.040382704676	0.040423370915	0.007049	0.000024	1.000000000000	
1079000	240.141990	1	0.151154108591	0.000008490923	0.000939558031	0.001006008111	0.040382704651	0.040423370890	0.006666	0.000022	1.000000000000	
1080000	240.936536	1	0.141576194367	-0.000010467086	0.000906958256	0.001006008111	0.040382704676	0.040423370915	0.006549	0.000022	1.000000000000	
1081000	240.236832	1	0.146783276609	-0.000020685923	0.000935605948	0.001006008111	0.040382704651	0.040423370890	0.006652	0.000022	1.000000000000	
1082000	240.439411	1	0.133820600140	0.000006988202	0.000927220034	0.001006008111	0.040382704676	0.040423370915	0.006622	0.000022	1.000000000000	
