Rate	100.00
Rate Tried	% Accepted	Alpha - Dev	Alpha - Tried	Alpha - Accepted	Beta Trait 1 - Dev	Beta Trait 1 - Tried	Beta Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.292000	0.075386	492	0.313008	0.000228	508	0.271654	0.292000	0.297936	
1000	0.303000	0.075386	502	0.310757	0.000228	498	0.295181	0.303000	0.297941	
1000	0.284000	0.075386	521	0.274472	0.000228	479	0.294363	0.284000	0.297928	
1000	0.300000	0.075386	513	0.270955	0.000228	487	0.330595	0.300000	0.297930	
1000	0.309000	0.075386	514	0.295720	0.000228	486	0.323045	0.309000	0.297940	
1000	0.305000	0.075386	478	0.282427	0.000228	522	0.325670	0.305000	0.297947	
1000	0.281000	0.075386	514	0.270428	0.000228	486	0.292181	0.281000	0.297931	
1000	0.313000	0.075386	510	0.323529	0.000228	490	0.302041	0.313000	0.297945	
1000	0.305000	0.075386	517	0.276596	0.000228	483	0.335404	0.305000	0.297952	
1000	0.288000	0.075386	511	0.273973	0.000228	489	0.302658	0.288000	0.297942	
1000	0.296000	0.075386	528	0.301136	0.000228	472	0.290254	0.296000	0.297941	
1000	0.313000	0.075386	500	0.312000	0.000228	500	0.314000	0.313000	0.297954	
1000	0.306000	0.075386	484	0.287190	0.000228	516	0.323643	0.306000	0.297962	
1000	0.283000	0.075386	493	0.263692	0.000228	507	0.301775	0.283000	0.297948	
1000	0.298000	0.075386	487	0.301848	0.000228	513	0.294347	0.298000	0.297948	
1000	0.327000	0.075386	508	0.307087	0.000228	492	0.347561	0.327000	0.297975	
1000	0.322000	0.075386	509	0.292731	0.000228	491	0.352342	0.322000	0.297997	
1000	0.294000	0.075386	504	0.273810	0.000228	496	0.314516	0.294000	0.297993	
1000	0.292000	0.075386	478	0.276151	0.000228	522	0.306513	0.292000	0.297988	
1000	0.283000	0.075386	491	0.258656	0.000228	509	0.306483	0.283000	0.297974	
1000	0.273000	0.075386	503	0.272366	0.000228	497	0.273642	0.273000	0.297951	
1000	0.296000	0.075386	498	0.265060	0.000228	502	0.326693	0.296000	0.297949	
1000	0.326000	0.075386	510	0.292157	0.000228	490	0.361224	0.326000	0.297975	
1000	0.337000	0.075386	506	0.339921	0.000228	494	0.334008	0.337000	0.298011	
1000	0.316000	0.075386	498	0.313253	0.000228	502	0.318725	0.316000	0.298027	
1000	0.308000	0.075386	506	0.304348	0.000228	494	0.311741	0.308000	0.298036	
1000	0.327000	0.075386	514	0.330739	0.000228	486	0.323045	0.327000	0.298063	
1000	0.295000	0.075386	494	0.289474	0.000228	506	0.300395	0.295000	0.298060	
1000	0.286000	0.075386	490	0.277551	0.000228	510	0.294118	0.286000	0.298049	
1000	0.306000	0.075386	519	0.308285	0.000228	481	0.303534	0.306000	0.298056	
1000	0.312000	0.075386	501	0.291417	0.000228	499	0.332665	0.312000	0.298069	
1000	0.277000	0.075386	487	0.275154	0.000228	513	0.278752	0.277000	0.298050	
1000	0.285000	0.075386	492	0.274390	0.000228	508	0.295276	0.285000	0.298038	
1000	0.314000	0.075386	532	0.287594	0.000228	468	0.344017	0.314000	0.298052	
1000	0.318000	0.075386	505	0.297030	0.000228	495	0.339394	0.318000	0.298070	
1000	0.292000	0.075386	502	0.260956	0.000228	498	0.323293	0.292000	0.298065	
1000	0.336000	0.075386	508	0.307087	0.000228	492	0.365854	0.336000	0.298099	
1000	0.332000	0.075386	506	0.347826	0.000228	494	0.315789	0.332000	0.298130	
1000	0.319000	0.075386	515	0.302913	0.000228	485	0.336082	0.319000	0.298148	
1000	0.316000	0.075386	532	0.295113	0.000228	468	0.339744	0.316000	0.298164	
1000	0.286000	0.075386	492	0.264228	0.000228	508	0.307087	0.286000	0.298154	
1000	0.305000	0.075386	495	0.298990	0.000228	505	0.310891	0.305000	0.298160	
1000	0.336000	0.075386	514	0.305447	0.000228	486	0.368313	0.336000	0.298194	
1000	0.276000	0.075386	503	0.242545	0.000228	497	0.309859	0.276000	0.298174	
1000	0.296000	0.075386	516	0.269380	0.000228	484	0.324380	0.296000	0.298172	
1000	0.315000	0.075386	501	0.289421	0.000228	499	0.340681	0.315000	0.298187	
1000	0.299000	0.075386	503	0.302187	0.000228	497	0.295775	0.299000	0.298188	
1000	0.325000	0.075386	497	0.338028	0.000228	503	0.312127	0.325000	0.298212	
1000	0.286000	0.075386	531	0.280603	0.000228	469	0.292111	0.286000	0.298201	
1000	0.277000	0.075386	504	0.240079	0.000228	496	0.314516	0.277000	0.298182	
1000	0.306000	0.075386	502	0.284861	0.000228	498	0.327309	0.306000	0.298189	
1000	0.289000	0.075386	504	0.277778	0.000228	496	0.300403	0.289000	0.298181	
1000	0.329000	0.075386	529	0.310019	0.000228	471	0.350318	0.329000	0.298208	
1000	0.308000	0.075386	492	0.282520	0.000228	508	0.332677	0.308000	0.298217	
1000	0.304000	0.075386	494	0.279352	0.000228	506	0.328063	0.304000	0.298222	
1000	0.285000	0.075386	497	0.275654	0.000228	503	0.294235	0.285000	0.298210	
1000	0.300000	0.075386	498	0.267068	0.000228	502	0.332669	0.300000	0.298212	
1000	0.313000	0.075386	513	0.307992	0.000228	487	0.318275	0.313000	0.298225	
1000	0.318000	0.075386	486	0.304527	0.000228	514	0.330739	0.318000	0.298242	
1000	0.294000	0.075386	510	0.298039	0.000228	490	0.289796	0.294000	0.298238	
1000	0.296000	0.075386	521	0.280230	0.000228	479	0.313152	0.296000	0.298236	
1000	0.297000	0.075386	501	0.283433	0.000228	499	0.310621	0.297000	0.298235	
1000	0.303000	0.075386	482	0.311203	0.000228	518	0.295367	0.303000	0.298240	
1000	0.285000	0.075386	469	0.262260	0.000228	531	0.305085	0.285000	0.298228	
1000	0.312000	0.075386	485	0.301031	0.000228	515	0.322330	0.312000	0.298240	
1000	0.313000	0.075386	502	0.312749	0.000228	498	0.313253	0.313000	0.298253	
1000	0.272000	0.075386	495	0.268687	0.000228	505	0.275248	0.272000	0.298230	
1000	0.291000	0.075386	508	0.287402	0.000228	492	0.294715	0.291000	0.298224	
1000	0.299000	0.075386	484	0.278926	0.000228	516	0.317829	0.299000	0.298224	
1000	0.279000	0.075386	494	0.261134	0.000228	506	0.296443	0.279000	0.298207	
1000	0.303000	0.075386	496	0.290323	0.000228	504	0.315476	0.303000	0.298212	
1000	0.259000	0.075386	478	0.246862	0.000228	522	0.270115	0.259000	0.298177	
1000	0.317000	0.075386	483	0.281573	0.000228	517	0.350097	0.317000	0.298194	
1000	0.312000	0.075386	497	0.287726	0.000228	503	0.335984	0.312000	0.298206	
1000	0.287000	0.075386	488	0.254098	0.000228	512	0.318359	0.287000	0.298196	
1000	0.304000	0.075386	478	0.267782	0.000228	522	0.337165	0.304000	0.298201	
1000	0.293000	0.075386	492	0.266260	0.000228	508	0.318898	0.293000	0.298197	
1000	0.292000	0.075386	495	0.294949	0.000228	505	0.289109	0.292000	0.298191	
1000	0.272000	0.075386	501	0.279441	0.000228	499	0.264529	0.272000	0.298168	
1000	0.284000	0.075386	502	0.270916	0.000228	498	0.297189	0.284000	0.298156	
1000	0.286000	0.075386	514	0.256809	0.000228	486	0.316872	0.286000	0.298146	
1000	0.324000	0.075386	526	0.309886	0.000228	474	0.339662	0.324000	0.298168	
1000	0.312000	0.075386	516	0.273256	0.000228	484	0.353306	0.312000	0.298180	
1000	0.333000	0.075386	506	0.320158	0.000228	494	0.346154	0.333000	0.298210	
1000	0.301000	0.075386	512	0.269531	0.000228	488	0.334016	0.301000	0.298213	
1000	0.293000	0.075386	484	0.280992	0.000228	516	0.304264	0.293000	0.298208	
1000	0.294000	0.075386	490	0.300000	0.000228	510	0.288235	0.294000	0.298204	
1000	0.322000	0.075386	507	0.274162	0.000228	493	0.371197	0.322000	0.298225	
1000	0.291000	0.075386	495	0.315152	0.000228	505	0.267327	0.291000	0.298219	
1000	0.290000	0.075386	486	0.275720	0.000228	514	0.303502	0.290000	0.298212	
1000	0.305000	0.075386	511	0.272016	0.000228	489	0.339468	0.305000	0.298217	
1000	0.285000	0.075386	519	0.287091	0.000228	481	0.282744	0.285000	0.298206	
1000	0.281000	0.075386	489	0.257669	0.000228	511	0.303327	0.281000	0.298191	
1000	0.311000	0.075386	493	0.275862	0.000228	507	0.345168	0.311000	0.298202	
1000	0.285000	0.075386	458	0.251092	0.000228	542	0.313653	0.285000	0.298191	
1000	0.328000	0.075386	470	0.304255	0.000228	530	0.349057	0.328000	0.298217	
1000	0.305000	0.075386	498	0.273092	0.000228	502	0.336653	0.305000	0.298222	
1000	0.296000	0.075386	500	0.282000	0.000228	500	0.310000	0.296000	0.298220	
1000	0.322000	0.075386	490	0.281633	0.000228	510	0.360784	0.322000	0.298241	
1000	0.303000	0.075386	483	0.244306	0.000228	517	0.357834	0.303000	0.298245	
1000	0.318000	0.075386	516	0.333333	0.000228	484	0.301653	0.318000	0.298262	
1000	0.305000	0.075386	493	0.300203	0.000228	507	0.309665	0.305000	0.298267	
1000	0.324000	0.075386	505	0.302970	0.000228	495	0.345455	0.324000	0.298289	
1000	0.288000	0.075386	501	0.265469	0.000228	499	0.310621	0.288000	0.298281	
1000	0.338000	0.075386	512	0.316406	0.000228	488	0.360656	0.338000	0.298314	
1000	0.307000	0.075386	493	0.302231	0.000228	507	0.311637	0.307000	0.298322	
1000	0.308000	0.075386	542	0.285978	0.000228	458	0.334061	0.308000	0.298330	
1000	0.315000	0.075386	507	0.285996	0.000228	493	0.344828	0.315000	0.298344	
1000	0.296000	0.075386	457	0.286652	0.000228	543	0.303867	0.296000	0.298342	
1000	0.295000	0.075386	489	0.251534	0.000228	511	0.336595	0.295000	0.298339	
1000	0.310000	0.075386	462	0.296537	0.000228	538	0.321561	0.310000	0.298349	
1000	0.301000	0.075386	488	0.293033	0.000228	512	0.308594	0.301000	0.298351	
1000	0.289000	0.075386	488	0.245902	0.000228	512	0.330078	0.289000	0.298343	
1000	0.323000	0.075386	472	0.300847	0.000228	528	0.342803	0.323000	0.298364	
1000	0.303000	0.075386	507	0.276134	0.000228	493	0.330629	0.303000	0.298368	
1000	0.291000	0.075386	500	0.296000	0.000228	500	0.286000	0.291000	0.298362	
1000	0.342000	0.075386	499	0.308617	0.000228	501	0.375250	0.342000	0.298399	
1000	0.288000	0.075386	505	0.283168	0.000228	495	0.292929	0.288000	0.298390	
1000	0.295000	0.075386	533	0.285178	0.000228	467	0.306210	0.295000	0.298387	
1000	0.352000	0.075386	499	0.326653	0.000228	501	0.377246	0.352000	0.298432	
1000	0.334000	0.075386	506	0.314229	0.000228	494	0.354251	0.334000	0.298462	
1000	0.319000	0.075386	505	0.304950	0.000228	495	0.333333	0.319000	0.298479	
1000	0.329000	0.075386	495	0.298990	0.000228	505	0.358416	0.329000	0.298505	
1000	0.323000	0.075386	502	0.306773	0.000228	498	0.339357	0.323000	0.298525	
1000	0.293000	0.075386	515	0.262136	0.000228	485	0.325773	0.293000	0.298521	
1000	0.312000	0.075386	467	0.280514	0.000228	533	0.339587	0.312000	0.298532	
1000	0.308000	0.075386	515	0.304854	0.000228	485	0.311340	0.308000	0.298540	
1000	0.337000	0.075386	515	0.314563	0.000228	485	0.360825	0.337000	0.298572	
1000	0.301000	0.075386	519	0.294798	0.000228	481	0.307692	0.301000	0.298574	
1000	0.317000	0.075386	495	0.288889	0.000228	505	0.344554	0.317000	0.298589	
1000	0.331000	0.075386	514	0.332685	0.000228	486	0.329218	0.331000	0.298616	
1000	0.307000	0.075386	484	0.311983	0.000228	516	0.302326	0.307000	0.298623	
1000	0.293000	0.075386	504	0.269841	0.000228	496	0.316532	0.293000	0.298619	
1000	0.291000	0.075386	475	0.263158	0.000228	525	0.316190	0.291000	0.298612	
1000	0.314000	0.075386	496	0.314516	0.000228	504	0.313492	0.314000	0.298625	
1000	0.290000	0.075386	519	0.294798	0.000228	481	0.284823	0.290000	0.298618	
1000	0.286000	0.075386	512	0.271484	0.000228	488	0.301230	0.286000	0.298607	
1000	0.300000	0.075386	503	0.258449	0.000228	497	0.342052	0.300000	0.298609	
1000	0.296000	0.075386	496	0.296371	0.000228	504	0.295635	0.296000	0.298606	
1000	0.286000	0.075386	483	0.258799	0.000228	517	0.311412	0.286000	0.298596	
1000	0.283000	0.075386	510	0.292157	0.000228	490	0.273469	0.283000	0.298583	
1000	0.287000	0.075386	530	0.256604	0.000228	470	0.321277	0.287000	0.298574	
1000	0.287000	0.075386	524	0.286260	0.000228	476	0.287815	0.287000	0.298564	
1000	0.296000	0.075386	491	0.281059	0.000228	509	0.310413	0.296000	0.298562	
1000	0.285000	0.075386	530	0.273585	0.000228	470	0.297872	0.285000	0.298551	
1000	0.279000	0.075386	498	0.265060	0.000228	502	0.292829	0.279000	0.298535	
1000	0.299000	0.075386	499	0.272545	0.000228	501	0.325349	0.299000	0.298535	
1000	0.298000	0.075386	509	0.271120	0.000228	491	0.325866	0.298000	0.298535	
1000	0.300000	0.075386	498	0.287149	0.000228	502	0.312749	0.300000	0.298536	
1000	0.319000	0.075386	491	0.323829	0.000228	509	0.314342	0.319000	0.298553	
1000	0.280000	0.075386	509	0.267191	0.000228	491	0.293279	0.280000	0.298537	
1000	0.293000	0.075386	528	0.285985	0.000228	472	0.300847	0.293000	0.298533	
1000	0.292000	0.075386	505	0.251485	0.000228	495	0.333333	0.292000	0.298528	
1000	0.320000	0.075386	494	0.303644	0.000228	506	0.335968	0.320000	0.298545	
1000	0.308000	0.075386	509	0.308448	0.000228	491	0.307536	0.308000	0.298553	
1000	0.291000	0.075386	489	0.267894	0.000228	511	0.313112	0.291000	0.298547	
1000	0.292000	0.075386	498	0.265060	0.000228	502	0.318725	0.292000	0.298541	
1000	0.299000	0.075386	526	0.277567	0.000228	474	0.322785	0.299000	0.298542	
1000	0.321000	0.075386	507	0.319527	0.000228	493	0.322515	0.321000	0.298560	
1000	0.300000	0.075386	479	0.300626	0.000228	521	0.299424	0.300000	0.298561	
1000	0.299000	0.075386	506	0.282609	0.000228	494	0.315789	0.299000	0.298561	
1000	0.302000	0.075386	490	0.306122	0.000228	510	0.298039	0.302000	0.298564	
1000	0.318000	0.075386	486	0.288066	0.000228	514	0.346304	0.318000	0.298580	
1000	0.260000	0.075386	506	0.229249	0.000228	494	0.291498	0.260000	0.298549	
1000	0.315000	0.075386	484	0.307851	0.000228	516	0.321705	0.315000	0.298562	
1000	0.329000	0.075386	511	0.315068	0.000228	489	0.343558	0.329000	0.298587	
1000	0.336000	0.075386	513	0.296296	0.000228	487	0.377823	0.336000	0.298617	
1000	0.325000	0.075386	510	0.290196	0.000228	490	0.361224	0.325000	0.298638	
1000	0.282000	0.075386	529	0.272212	0.000228	471	0.292994	0.282000	0.298625	
1000	0.294000	0.075386	489	0.304703	0.000228	511	0.283757	0.294000	0.298621	
1000	0.292000	0.075386	474	0.274262	0.000228	526	0.307985	0.292000	0.298616	
1000	0.311000	0.075386	510	0.288235	0.000228	490	0.334694	0.311000	0.298626	
1000	0.288000	0.075386	510	0.272549	0.000228	490	0.304082	0.288000	0.298617	
1000	0.320000	0.075386	506	0.312253	0.000228	494	0.327935	0.320000	0.298634	
1000	0.317000	0.075386	499	0.310621	0.000228	501	0.323353	0.317000	0.298649	
1000	0.297000	0.075386	498	0.285141	0.000228	502	0.308765	0.297000	0.298648	
1000	0.278000	0.075386	495	0.278788	0.000228	505	0.277228	0.278000	0.298631	
1000	0.305000	0.075386	482	0.265560	0.000228	518	0.341699	0.305000	0.298636	
1000	0.298000	0.075386	474	0.303797	0.000228	526	0.292776	0.298000	0.298636	
1000	0.317000	0.075386	518	0.299228	0.000228	482	0.336100	0.317000	0.298650	
1000	0.269000	0.075386	502	0.250996	0.000228	498	0.287149	0.269000	0.298627	
1000	0.280000	0.075386	501	0.261477	0.000228	499	0.298597	0.280000	0.298612	
1000	0.281000	0.075386	478	0.282427	0.000228	522	0.279693	0.281000	0.298598	
1000	0.295000	0.075386	503	0.272366	0.000228	497	0.317907	0.295000	0.298595	
1000	0.311000	0.075386	495	0.333333	0.000228	505	0.289109	0.311000	0.298605	
1000	0.302000	0.075386	493	0.296146	0.000228	507	0.307692	0.302000	0.298608	
1000	0.302000	0.075386	537	0.281192	0.000228	463	0.326134	0.302000	0.298610	
1000	0.274000	0.075386	505	0.237624	0.000228	495	0.311111	0.274000	0.298591	
1000	0.309000	0.075386	502	0.296813	0.000228	498	0.321285	0.309000	0.298599	
1000	0.303000	0.075386	496	0.296371	0.000228	504	0.309524	0.303000	0.298602	
1000	0.304000	0.075386	491	0.299389	0.000228	509	0.308448	0.304000	0.298607	
1000	0.280000	0.075386	484	0.245868	0.000228	516	0.312016	0.280000	0.298592	
1000	0.290000	0.075386	479	0.290188	0.000228	521	0.289827	0.290000	0.298585	
1000	0.267000	0.075386	487	0.283368	0.000228	513	0.251462	0.267000	0.298560	
1000	0.289000	0.075386	500	0.266000	0.000228	500	0.312000	0.289000	0.298553	
1000	0.318000	0.075386	501	0.317365	0.000228	499	0.318637	0.318000	0.298568	
1000	0.286000	0.075386	484	0.283058	0.000228	516	0.288760	0.286000	0.298558	
1000	0.276000	0.075386	500	0.264000	0.000228	500	0.288000	0.276000	0.298540	
1000	0.297000	0.075386	499	0.262525	0.000228	501	0.331337	0.297000	0.298539	
1000	0.331000	0.075386	500	0.308000	0.000228	500	0.354000	0.331000	0.298565	
1000	0.301000	0.075386	488	0.309426	0.000228	512	0.292969	0.301000	0.298567	
1000	0.318000	0.075386	495	0.331313	0.000228	505	0.304950	0.318000	0.298582	
1000	0.322000	0.075386	512	0.308594	0.000228	488	0.336066	0.322000	0.298600	
1000	0.328000	0.075386	489	0.339468	0.000228	511	0.317025	0.328000	0.298623	
1000	0.310000	0.075386	516	0.275194	0.000228	484	0.347107	0.310000	0.298632	
1000	0.322000	0.075386	499	0.294589	0.000228	501	0.349301	0.322000	0.298651	
1000	0.307000	0.075386	499	0.280561	0.000228	501	0.333333	0.307000	0.298657	
1000	0.319000	0.075386	503	0.292247	0.000228	497	0.346076	0.319000	0.298673	
1000	0.314000	0.075386	466	0.315451	0.000228	534	0.312734	0.314000	0.298685	
1000	0.299000	0.075386	487	0.297741	0.000228	513	0.300195	0.299000	0.298685	
1000	0.321000	0.075386	485	0.294845	0.000228	515	0.345631	0.321000	0.298703	
1000	0.305000	0.075386	503	0.280318	0.000228	497	0.329980	0.305000	0.298707	
1000	0.307000	0.075386	483	0.308489	0.000228	517	0.305609	0.307000	0.298714	
1000	0.303000	0.075386	483	0.289855	0.000228	517	0.315280	0.303000	0.298717	
1000	0.302000	0.075386	513	0.267057	0.000228	487	0.338809	0.302000	0.298720	
1000	0.300000	0.075386	516	0.281008	0.000228	484	0.320248	0.300000	0.298721	
1000	0.321000	0.075386	517	0.292070	0.000228	483	0.351967	0.321000	0.298738	
1000	0.295000	0.075386	492	0.286585	0.000228	508	0.303150	0.295000	0.298735	
1000	0.287000	0.075386	478	0.271967	0.000228	522	0.300766	0.287000	0.298726	
1000	0.320000	0.075386	478	0.303347	0.000228	522	0.335249	0.320000	0.298743	
1000	0.333000	0.075386	530	0.315094	0.000228	470	0.353191	0.333000	0.298769	
1000	0.306000	0.075386	498	0.295181	0.000228	502	0.316733	0.306000	0.298775	
1000	0.280000	0.075386	471	0.244161	0.000228	529	0.311909	0.280000	0.298760	
1000	0.307000	0.075386	504	0.309524	0.000228	496	0.304435	0.307000	0.298767	
1000	0.293000	0.075386	506	0.274704	0.000228	494	0.311741	0.293000	0.298762	
1000	0.306000	0.075386	494	0.301619	0.000228	506	0.310277	0.306000	0.298768	
1000	0.315000	0.075386	523	0.282983	0.000228	477	0.350105	0.315000	0.298780	
1000	0.292000	0.075386	489	0.282209	0.000228	511	0.301370	0.292000	0.298775	
1000	0.283000	0.075386	496	0.227823	0.000228	504	0.337302	0.283000	0.298763	
1000	0.319000	0.075386	489	0.294479	0.000228	511	0.342466	0.319000	0.298778	
1000	0.269000	0.075386	524	0.261450	0.000228	476	0.277311	0.269000	0.298756	
1000	0.289000	0.075386	484	0.283058	0.000228	516	0.294574	0.289000	0.298748	
1000	0.287000	0.075386	514	0.260700	0.000228	486	0.314815	0.287000	0.298739	
1000	0.319000	0.075386	484	0.291322	0.000228	516	0.344961	0.319000	0.298755	
1000	0.305000	0.075386	474	0.293249	0.000228	526	0.315589	0.305000	0.298759	
1000	0.301000	0.075386	509	0.263261	0.000228	491	0.340122	0.301000	0.298761	
1000	0.301000	0.075386	501	0.293413	0.000228	499	0.308617	0.301000	0.298763	
1000	0.312000	0.075386	513	0.302144	0.000228	487	0.322382	0.312000	0.298773	
1000	0.313000	0.075386	481	0.286902	0.000228	519	0.337187	0.313000	0.298784	
1000	0.321000	0.075386	453	0.289183	0.000228	547	0.347349	0.321000	0.298801	
1000	0.292000	0.075386	475	0.233684	0.000228	525	0.344762	0.292000	0.298796	
1000	0.319000	0.075386	458	0.303493	0.000228	542	0.332103	0.319000	0.298811	
1000	0.295000	0.075386	495	0.298990	0.000228	505	0.291089	0.295000	0.298808	
1000	0.271000	0.075386	474	0.242616	0.000228	526	0.296578	0.271000	0.298787	
1000	0.293000	0.075386	483	0.298137	0.000228	517	0.288201	0.293000	0.298782	
1000	0.265000	0.075386	502	0.247012	0.000228	498	0.283133	0.265000	0.298757	
1000	0.317000	0.075386	524	0.330153	0.000228	476	0.302521	0.317000	0.298771	
1000	0.313000	0.075386	504	0.285714	0.000228	496	0.340726	0.313000	0.298781	
1000	0.319000	0.075386	513	0.296296	0.000228	487	0.342916	0.319000	0.298797	
