Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.257000	0.061519	1000	0.257000	0.257000	0.248806	
1000	0.264000	0.061519	1000	0.264000	0.264000	0.248820	
1000	0.280000	0.061519	1000	0.280000	0.280000	0.248848	
1000	0.250000	0.061519	1000	0.250000	0.250000	0.248849	
1000	0.258000	0.061519	1000	0.258000	0.258000	0.248857	
1000	0.300000	0.061519	1000	0.300000	0.300000	0.248904	
1000	0.234000	0.061519	1000	0.234000	0.234000	0.248890	
1000	0.258000	0.061519	1000	0.258000	0.258000	0.248898	
1000	0.246000	0.061519	1000	0.246000	0.246000	0.248896	
1000	0.272000	0.061519	1000	0.272000	0.272000	0.248917	
1000	0.255000	0.061519	1000	0.255000	0.255000	0.248922	
1000	0.267000	0.061519	1000	0.267000	0.267000	0.248938	
1000	0.259000	0.061519	1000	0.259000	0.259000	0.248948	
1000	0.263000	0.061519	1000	0.263000	0.263000	0.248960	
1000	0.273000	0.061519	1000	0.273000	0.273000	0.248982	
1000	0.281000	0.061519	1000	0.281000	0.281000	0.249011	
1000	0.269000	0.061519	1000	0.269000	0.269000	0.249029	
1000	0.260000	0.061519	1000	0.260000	0.260000	0.249038	
1000	0.280000	0.061519	1000	0.280000	0.280000	0.249066	
1000	0.285000	0.061519	1000	0.285000	0.285000	0.249098	
1000	0.239000	0.061519	1000	0.239000	0.239000	0.249089	
1000	0.274000	0.061519	1000	0.274000	0.274000	0.249111	
1000	0.271000	0.061519	1000	0.271000	0.271000	0.249131	
1000	0.273000	0.061519	1000	0.273000	0.273000	0.249152	
1000	0.263000	0.061519	1000	0.263000	0.263000	0.249165	
1000	0.284000	0.061519	1000	0.284000	0.284000	0.249196	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.249211	
1000	0.256000	0.061519	1000	0.256000	0.256000	0.249217	
1000	0.241000	0.061519	1000	0.241000	0.241000	0.249209	
1000	0.269000	0.061519	1000	0.269000	0.269000	0.249227	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.249242	
1000	0.245000	0.061519	1000	0.245000	0.245000	0.249238	
1000	0.248000	0.061519	1000	0.248000	0.248000	0.249237	
1000	0.274000	0.061519	1000	0.274000	0.274000	0.249259	
1000	0.275000	0.061519	1000	0.275000	0.275000	0.249282	
1000	0.237000	0.061519	1000	0.237000	0.237000	0.249271	
1000	0.234000	0.061519	1000	0.234000	0.234000	0.249257	
1000	0.260000	0.061519	1000	0.260000	0.260000	0.249267	
1000	0.273000	0.061519	1000	0.273000	0.273000	0.249288	
1000	0.245000	0.061519	1000	0.245000	0.245000	0.249284	
1000	0.268000	0.061519	1000	0.268000	0.268000	0.249300	
1000	0.276000	0.061519	1000	0.276000	0.276000	0.249324	
1000	0.268000	0.061519	1000	0.268000	0.268000	0.249340	
1000	0.265000	0.061519	1000	0.265000	0.265000	0.249354	
1000	0.256000	0.061519	1000	0.256000	0.256000	0.249360	
1000	0.233000	0.061519	1000	0.233000	0.233000	0.249345	
1000	0.286000	0.061519	1000	0.286000	0.286000	0.249377	
1000	0.258000	0.061519	1000	0.258000	0.258000	0.249385	
1000	0.239000	0.061519	1000	0.239000	0.239000	0.249376	
1000	0.263000	0.061519	1000	0.263000	0.263000	0.249388	
1000	0.264000	0.061519	1000	0.264000	0.264000	0.249400	
1000	0.257000	0.061519	1000	0.257000	0.257000	0.249407	
1000	0.269000	0.061519	1000	0.269000	0.269000	0.249424	
1000	0.272000	0.061519	1000	0.272000	0.272000	0.249444	
1000	0.246000	0.061519	1000	0.246000	0.246000	0.249441	
1000	0.252000	0.061519	1000	0.252000	0.252000	0.249443	
1000	0.246000	0.061519	1000	0.246000	0.246000	0.249440	
1000	0.251000	0.061519	1000	0.251000	0.251000	0.249441	
1000	0.248000	0.061519	1000	0.248000	0.248000	0.249440	
1000	0.244000	0.061519	1000	0.244000	0.244000	0.249435	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.249450	
1000	0.224000	0.061519	1000	0.224000	0.224000	0.249428	
1000	0.249000	0.061519	1000	0.249000	0.249000	0.249427	
1000	0.260000	0.061519	1000	0.260000	0.260000	0.249436	
1000	0.243000	0.061519	1000	0.243000	0.243000	0.249431	
1000	0.265000	0.061519	1000	0.265000	0.265000	0.249444	
1000	0.268000	0.061519	1000	0.268000	0.268000	0.249460	
1000	0.246000	0.061519	1000	0.246000	0.246000	0.249457	
1000	0.258000	0.061519	1000	0.258000	0.258000	0.249465	
1000	0.263000	0.061519	1000	0.263000	0.263000	0.249476	
1000	0.252000	0.061519	1000	0.252000	0.252000	0.249478	
1000	0.212000	0.061519	1000	0.212000	0.212000	0.249446	
1000	0.241000	0.061519	1000	0.241000	0.241000	0.249439	
1000	0.268000	0.061519	1000	0.268000	0.268000	0.249455	
1000	0.232000	0.061519	1000	0.232000	0.232000	0.249440	
1000	0.261000	0.061519	1000	0.261000	0.261000	0.249450	
1000	0.243000	0.061519	1000	0.243000	0.243000	0.249444	
1000	0.275000	0.061519	1000	0.275000	0.275000	0.249466	
1000	0.240000	0.061519	1000	0.240000	0.240000	0.249458	
1000	0.253000	0.061519	1000	0.253000	0.253000	0.249461	
1000	0.255000	0.061519	1000	0.255000	0.255000	0.249466	
1000	0.256000	0.061519	1000	0.256000	0.256000	0.249471	
1000	0.240000	0.061519	1000	0.240000	0.240000	0.249463	
1000	0.268000	0.061519	1000	0.268000	0.268000	0.249479	
1000	0.274000	0.061519	1000	0.274000	0.274000	0.249500	
1000	0.268000	0.061519	1000	0.268000	0.268000	0.249515	
1000	0.269000	0.061519	1000	0.269000	0.269000	0.249532	
1000	0.262000	0.061519	1000	0.262000	0.262000	0.249542	
1000	0.292000	0.061519	1000	0.292000	0.292000	0.249578	
1000	0.291000	0.061519	1000	0.291000	0.291000	0.249613	
1000	0.249000	0.061519	1000	0.249000	0.249000	0.249613	
1000	0.263000	0.061519	1000	0.263000	0.263000	0.249624	
1000	0.255000	0.061519	1000	0.255000	0.255000	0.249628	
1000	0.256000	0.061519	1000	0.256000	0.256000	0.249634	
1000	0.277000	0.061519	1000	0.277000	0.277000	0.249657	
1000	0.255000	0.061519	1000	0.255000	0.255000	0.249661	
1000	0.245000	0.061519	1000	0.245000	0.245000	0.249657	
1000	0.276000	0.061519	1000	0.276000	0.276000	0.249679	
1000	0.275000	0.061519	1000	0.275000	0.275000	0.249700	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.249714	
1000	0.236000	0.061519	1000	0.236000	0.236000	0.249703	
1000	0.241000	0.061519	1000	0.241000	0.241000	0.249695	
1000	0.255000	0.061519	1000	0.255000	0.255000	0.249700	
1000	0.264000	0.061519	1000	0.264000	0.264000	0.249712	
1000	0.260000	0.061519	1000	0.260000	0.260000	0.249720	
1000	0.270000	0.061519	1000	0.270000	0.270000	0.249737	
1000	0.254000	0.061519	1000	0.254000	0.254000	0.249741	
1000	0.249000	0.061519	1000	0.249000	0.249000	0.249740	
1000	0.252000	0.061519	1000	0.252000	0.252000	0.249742	
1000	0.261000	0.061519	1000	0.261000	0.261000	0.249751	
1000	0.263000	0.061519	1000	0.263000	0.263000	0.249762	
1000	0.265000	0.061519	1000	0.265000	0.265000	0.249775	
1000	0.273000	0.061519	1000	0.273000	0.273000	0.249794	
1000	0.287000	0.061519	1000	0.287000	0.287000	0.249825	
1000	0.273000	0.061519	1000	0.273000	0.273000	0.249844	
1000	0.280000	0.061519	1000	0.280000	0.280000	0.249869	
1000	0.236000	0.061519	1000	0.236000	0.236000	0.249857	
1000	0.280000	0.061519	1000	0.280000	0.280000	0.249882	
1000	0.263000	0.061519	1000	0.263000	0.263000	0.249893	
1000	0.256000	0.061519	1000	0.256000	0.256000	0.249898	
1000	0.241000	0.061519	1000	0.241000	0.241000	0.249891	
1000	0.255000	0.061519	1000	0.255000	0.255000	0.249895	
1000	0.247000	0.061519	1000	0.247000	0.247000	0.249892	
1000	0.249000	0.061519	1000	0.249000	0.249000	0.249892	
1000	0.276000	0.061519	1000	0.276000	0.276000	0.249913	
1000	0.261000	0.061519	1000	0.261000	0.261000	0.249922	
1000	0.243000	0.061519	1000	0.243000	0.243000	0.249916	
1000	0.262000	0.061519	1000	0.262000	0.262000	0.249926	
1000	0.281000	0.061519	1000	0.281000	0.281000	0.249952	
1000	0.249000	0.061519	1000	0.249000	0.249000	0.249951	
1000	0.258000	0.061519	1000	0.258000	0.258000	0.249957	
1000	0.257000	0.061519	1000	0.257000	0.257000	0.249963	
1000	0.259000	0.061519	1000	0.259000	0.259000	0.249971	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.249984	
1000	0.292000	0.061519	1000	0.292000	0.292000	0.250018	
1000	0.267000	0.061519	1000	0.267000	0.267000	0.250031	
1000	0.267000	0.061519	1000	0.267000	0.267000	0.250045	
1000	0.254000	0.061519	1000	0.254000	0.254000	0.250048	
1000	0.262000	0.061519	1000	0.262000	0.262000	0.250058	
1000	0.251000	0.061519	1000	0.251000	0.251000	0.250059	
1000	0.245000	0.061519	1000	0.245000	0.245000	0.250055	
1000	0.259000	0.061519	1000	0.259000	0.259000	0.250062	
1000	0.270000	0.061519	1000	0.270000	0.270000	0.250078	
1000	0.280000	0.061519	1000	0.280000	0.280000	0.250102	
1000	0.254000	0.061519	1000	0.254000	0.254000	0.250105	
1000	0.255000	0.061519	1000	0.255000	0.255000	0.250109	
1000	0.282000	0.061519	1000	0.282000	0.282000	0.250135	
1000	0.285000	0.061519	1000	0.285000	0.285000	0.250163	
1000	0.238000	0.061519	1000	0.238000	0.238000	0.250153	
1000	0.286000	0.061519	1000	0.286000	0.286000	0.250182	
1000	0.261000	0.061519	1000	0.261000	0.261000	0.250191	
1000	0.261000	0.061519	1000	0.261000	0.261000	0.250199	
1000	0.250000	0.061519	1000	0.250000	0.250000	0.250199	
1000	0.249000	0.061519	1000	0.249000	0.249000	0.250198	
1000	0.276000	0.061519	1000	0.276000	0.276000	0.250219	
1000	0.244000	0.061519	1000	0.244000	0.244000	0.250214	
1000	0.261000	0.061519	1000	0.261000	0.261000	0.250222	
1000	0.227000	0.061519	1000	0.227000	0.227000	0.250204	
1000	0.254000	0.061519	1000	0.254000	0.254000	0.250207	
1000	0.249000	0.061519	1000	0.249000	0.249000	0.250206	
1000	0.254000	0.061519	1000	0.254000	0.254000	0.250209	
1000	0.244000	0.061519	1000	0.244000	0.244000	0.250204	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.250216	
1000	0.261000	0.061519	1000	0.261000	0.261000	0.250225	
1000	0.254000	0.061519	1000	0.254000	0.254000	0.250228	
1000	0.263000	0.061519	1000	0.263000	0.263000	0.250238	
1000	0.256000	0.061519	1000	0.256000	0.256000	0.250243	
1000	0.272000	0.061519	1000	0.272000	0.272000	0.250260	
1000	0.245000	0.061519	1000	0.245000	0.245000	0.250256	
1000	0.238000	0.061519	1000	0.238000	0.238000	0.250246	
1000	0.263000	0.061519	1000	0.263000	0.263000	0.250256	
1000	0.249000	0.061519	1000	0.249000	0.249000	0.250255	
1000	0.271000	0.061519	1000	0.271000	0.271000	0.250271	
1000	0.262000	0.061519	1000	0.262000	0.262000	0.250281	
1000	0.263000	0.061519	1000	0.263000	0.263000	0.250291	
1000	0.255000	0.061519	1000	0.255000	0.255000	0.250294	
1000	0.269000	0.061519	1000	0.269000	0.269000	0.250309	
1000	0.275000	0.061519	1000	0.275000	0.275000	0.250328	
1000	0.263000	0.061519	1000	0.263000	0.263000	0.250338	
1000	0.263000	0.061519	1000	0.263000	0.263000	0.250348	
1000	0.258000	0.061519	1000	0.258000	0.258000	0.250354	
1000	0.267000	0.061519	1000	0.267000	0.267000	0.250367	
1000	0.240000	0.061519	1000	0.240000	0.240000	0.250359	
1000	0.256000	0.061519	1000	0.256000	0.256000	0.250364	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.250376	
1000	0.281000	0.061519	1000	0.281000	0.281000	0.250400	
1000	0.273000	0.061519	1000	0.273000	0.273000	0.250417	
1000	0.242000	0.061519	1000	0.242000	0.242000	0.250411	
1000	0.240000	0.061519	1000	0.240000	0.240000	0.250403	
1000	0.252000	0.061519	1000	0.252000	0.252000	0.250404	
1000	0.281000	0.061519	1000	0.281000	0.281000	0.250428	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.250440	
1000	0.255000	0.061519	1000	0.255000	0.255000	0.250443	
1000	0.271000	0.061519	1000	0.271000	0.271000	0.250459	
1000	0.273000	0.061519	1000	0.273000	0.273000	0.250477	
1000	0.278000	0.061519	1000	0.278000	0.278000	0.250498	
1000	0.269000	0.061519	1000	0.269000	0.269000	0.250512	
1000	0.268000	0.061519	1000	0.268000	0.268000	0.250526	
1000	0.286000	0.061519	1000	0.286000	0.286000	0.250553	
1000	0.251000	0.061519	1000	0.251000	0.251000	0.250553	
1000	0.228000	0.061519	1000	0.228000	0.228000	0.250536	
1000	0.243000	0.061519	1000	0.243000	0.243000	0.250530	
1000	0.253000	0.061519	1000	0.253000	0.253000	0.250532	
1000	0.258000	0.061519	1000	0.258000	0.258000	0.250538	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.250550	
1000	0.277000	0.061519	1000	0.277000	0.277000	0.250570	
1000	0.252000	0.061519	1000	0.252000	0.252000	0.250571	
1000	0.235000	0.061519	1000	0.235000	0.235000	0.250559	
1000	0.282000	0.061519	1000	0.282000	0.282000	0.250583	
1000	0.219000	0.061519	1000	0.219000	0.219000	0.250559	
1000	0.274000	0.061519	1000	0.274000	0.274000	0.250577	
1000	0.261000	0.061519	1000	0.261000	0.261000	0.250585	
1000	0.265000	0.061519	1000	0.265000	0.265000	0.250596	
1000	0.234000	0.061519	1000	0.234000	0.234000	0.250583	
1000	0.285000	0.061519	1000	0.285000	0.285000	0.250610	
1000	0.250000	0.061519	1000	0.250000	0.250000	0.250609	
1000	0.268000	0.061519	1000	0.268000	0.268000	0.250622	
1000	0.277000	0.061519	1000	0.277000	0.277000	0.250642	
1000	0.257000	0.061519	1000	0.257000	0.257000	0.250647	
1000	0.250000	0.061519	1000	0.250000	0.250000	0.250647	
1000	0.281000	0.061519	1000	0.281000	0.281000	0.250670	
1000	0.236000	0.061519	1000	0.236000	0.236000	0.250659	
1000	0.264000	0.061519	1000	0.264000	0.264000	0.250669	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.250680	
1000	0.252000	0.061519	1000	0.252000	0.252000	0.250681	
1000	0.242000	0.061519	1000	0.242000	0.242000	0.250675	
1000	0.255000	0.061519	1000	0.255000	0.255000	0.250678	
1000	0.257000	0.061519	1000	0.257000	0.257000	0.250683	
1000	0.256000	0.061519	1000	0.256000	0.256000	0.250687	
1000	0.257000	0.061519	1000	0.257000	0.257000	0.250692	
1000	0.256000	0.061519	1000	0.256000	0.256000	0.250696	
1000	0.264000	0.061519	1000	0.264000	0.264000	0.250706	
1000	0.247000	0.061519	1000	0.247000	0.247000	0.250703	
1000	0.261000	0.061519	1000	0.261000	0.261000	0.250711	
1000	0.239000	0.061519	1000	0.239000	0.239000	0.250702	
1000	0.242000	0.061519	1000	0.242000	0.242000	0.250695	
1000	0.275000	0.061519	1000	0.275000	0.275000	0.250713	
1000	0.260000	0.061519	1000	0.260000	0.260000	0.250720	
1000	0.278000	0.061519	1000	0.278000	0.278000	0.250741	
1000	0.260000	0.061519	1000	0.260000	0.260000	0.250748	
1000	0.270000	0.061519	1000	0.270000	0.270000	0.250762	
1000	0.241000	0.061519	1000	0.241000	0.241000	0.250755	
1000	0.254000	0.061519	1000	0.254000	0.254000	0.250757	
1000	0.278000	0.061519	1000	0.278000	0.278000	0.250778	
1000	0.258000	0.061519	1000	0.258000	0.258000	0.250783	
1000	0.239000	0.061519	1000	0.239000	0.239000	0.250774	
1000	0.252000	0.061519	1000	0.252000	0.252000	0.250775	
1000	0.279000	0.061519	1000	0.279000	0.279000	0.250796	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.250807	
1000	0.283000	0.061519	1000	0.283000	0.283000	0.250831	
1000	0.268000	0.061519	1000	0.268000	0.268000	0.250844	
1000	0.248000	0.061519	1000	0.248000	0.248000	0.250842	
