Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.315000	0.109168	1000	0.315000	0.315000	0.308757	
1000	0.312000	0.109168	1000	0.312000	0.312000	0.308760	
1000	0.342000	0.109168	1000	0.342000	0.342000	0.308790	
1000	0.323000	0.109168	1000	0.323000	0.323000	0.308803	
1000	0.334000	0.109168	1000	0.334000	0.334000	0.308825	
1000	0.315000	0.109168	1000	0.315000	0.315000	0.308831	
1000	0.300000	0.109168	1000	0.300000	0.300000	0.308823	
1000	0.327000	0.109168	1000	0.327000	0.327000	0.308840	
1000	0.326000	0.109168	1000	0.326000	0.326000	0.308855	
1000	0.306000	0.109168	1000	0.306000	0.306000	0.308852	
1000	0.287000	0.109168	1000	0.287000	0.287000	0.308833	
1000	0.329000	0.109168	1000	0.329000	0.329000	0.308851	
1000	0.320000	0.109168	1000	0.320000	0.320000	0.308861	
1000	0.306000	0.109168	1000	0.306000	0.306000	0.308858	
1000	0.304000	0.109168	1000	0.304000	0.304000	0.308854	
1000	0.284000	0.109168	1000	0.284000	0.284000	0.308832	
1000	0.298000	0.109168	1000	0.298000	0.298000	0.308822	
1000	0.312000	0.109168	1000	0.312000	0.312000	0.308825	
1000	0.293000	0.109168	1000	0.293000	0.293000	0.308811	
1000	0.303000	0.109168	1000	0.303000	0.303000	0.308805	
1000	0.316000	0.109168	1000	0.316000	0.316000	0.308812	
1000	0.295000	0.109168	1000	0.295000	0.295000	0.308800	
1000	0.347000	0.109168	1000	0.347000	0.347000	0.308834	
1000	0.283000	0.109168	1000	0.283000	0.283000	0.308811	
1000	0.278000	0.109168	1000	0.278000	0.278000	0.308783	
1000	0.298000	0.109168	1000	0.298000	0.298000	0.308774	
1000	0.313000	0.109168	1000	0.313000	0.313000	0.308777	
1000	0.321000	0.109168	1000	0.321000	0.321000	0.308788	
1000	0.296000	0.109168	1000	0.296000	0.296000	0.308777	
1000	0.321000	0.109168	1000	0.321000	0.321000	0.308788	
1000	0.326000	0.109168	1000	0.326000	0.326000	0.308803	
1000	0.312000	0.109168	1000	0.312000	0.312000	0.308806	
1000	0.300000	0.109168	1000	0.300000	0.300000	0.308798	
1000	0.320000	0.109168	1000	0.320000	0.320000	0.308808	
1000	0.321000	0.109168	1000	0.321000	0.321000	0.308819	
1000	0.301000	0.109168	1000	0.301000	0.301000	0.308812	
1000	0.301000	0.109168	1000	0.301000	0.301000	0.308805	
1000	0.312000	0.109168	1000	0.312000	0.312000	0.308808	
1000	0.328000	0.109168	1000	0.328000	0.328000	0.308825	
1000	0.307000	0.109168	1000	0.307000	0.307000	0.308823	
1000	0.305000	0.109168	1000	0.305000	0.305000	0.308820	
1000	0.303000	0.109168	1000	0.303000	0.303000	0.308814	
1000	0.298000	0.109168	1000	0.298000	0.298000	0.308805	
1000	0.310000	0.109168	1000	0.310000	0.310000	0.308806	
1000	0.340000	0.109168	1000	0.340000	0.340000	0.308833	
1000	0.318000	0.109168	1000	0.318000	0.318000	0.308841	
1000	0.306000	0.109168	1000	0.306000	0.306000	0.308839	
1000	0.296000	0.109168	1000	0.296000	0.296000	0.308828	
1000	0.340000	0.109168	1000	0.340000	0.340000	0.308855	
1000	0.318000	0.109168	1000	0.318000	0.318000	0.308863	
1000	0.319000	0.109168	1000	0.319000	0.319000	0.308872	
1000	0.318000	0.109168	1000	0.318000	0.318000	0.308880	
1000	0.335000	0.109168	1000	0.335000	0.335000	0.308902	
